z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,label
1.8734726,-0.8602666,-0.9785162,-0.44117308,-0.28524974,-0.8472901,-0.8042113,-0.58975625,0
0.38747287,-1.1348361,1.2505052,2.3617778,-2.3937006,1.1933322,-1.8166875,-1.0481409,0
-0.6611869,0.56581444,-1.7368839,-0.28403968,0.017502733,1.4197242,-0.6815999,0.7802181,0
-0.045142822,0.9560571,-0.9339096,-1.8163116,1.307236,0.6100514,0.46962515,-0.2945696,0
-0.037250053,-1.103851,0.5133196,2.9312308,-1.5972849,1.0632156,-1.9019239,-0.57015747,0
-0.34361386,-0.4202475,-1.5207553,-0.7670782,0.3151623,0.63230413,-0.40691662,2.1790993,0
-1.2526267,0.08004415,0.2061361,-1.6720657,0.49828517,-0.44006106,-1.8322431,0.19013983,0
-0.6984717,-1.1140838,-0.85514325,0.37945524,-0.29634115,0.16315347,-0.93228054,2.5642393,0
-0.25197357,0.018761639,-1.2407216,-1.6478573,0.052248336,0.6706081,-0.22903703,1.5379267,0
-0.6712532,0.9018708,0.1806004,-1.6591243,1.8235561,0.03804992,0.118103944,-1.7416528,0
2.114627,-0.83428484,0.36954752,2.0372808,-0.34930426,1.4916507,-0.17680115,-0.22730896,0
-0.43801412,-0.30323845,-1.3332778,-0.711376,0.09632558,0.3879809,-0.66001934,2.3494396,0
-1.4173551,-1.1180826,1.3045242,-1.7611428,0.30149823,0.66400164,-1.654261,0.38552627,0
0.52672905,-0.7239287,0.29348636,-1.580852,1.5285931,0.4778665,0.77708936,-0.86059076,0
2.7559376,-0.9982903,0.13877623,0.7192515,1.1775398,0.22674242,0.23519224,0.056493346,0
